"","title","text","star","page","doc_id"
"57","Good sound, very tight fit","I preordered the head phones and they arrived earlier than expected. Packaging is good, minimal waste. A love the shade of blue. They look great and feel study.Music sounds really good and I could probably use this for many hours based on sound quality.There are a couple of apps available. One requires you to take photographs of your head and ears to optimise the music. Taking the photos face-on is simple, but taking the photos of the side of your head to fit within the template on the screen is actually quite tricky to do. Because you have to face forward whilst taking a side profile image. I ended up using a mirror to do this and several attempts. Probably should have got someone else to take the required photos of my ears, but would feel silly asking!I was impressed the headset has a mic and can take calls on my phone with ease.However, the headset really clamps down on my head. Head not big! The earpiece capsize is 3cm. So the headpiece claps on your ears. Whilst the headphones are fairly soft, I find after 20 minutes the pressure becomes too much and very uncomfortable to wear. This really is a shame. For that reason I will need to return them and the reason for 2 stars. I hope this feedback is useful.","2.0 out of 5 stars",6,57
"58","very nice.","as you would expect from a japanese company, great quality in every aspect!","5.0 out of 5 stars",6,58
"59","Bargain cans","Bought to replace my aging 510s to say these are an upgrade on the old 510s is an understatement. Amazing sound, proper bass and go pretty damn loud. I'm an EDM fan and these fit the bill perfectly.","5.0 out of 5 stars",6,59
"60","Perfect","Cost effective and high quality","5.0 out of 5 stars",6,60
"61","Amazing","What I like about the headphones as they are wireless and they fit nice on head. The straps you can adjust to the size of your head and they are loud enough. I definitely recommend this product","5.0 out of 5 stars",7,61
"62","OMG","I'm seriously blown away by these headphones at a decent price you get true quality. Brilliant, incredible.....buy them, you won't be disappointed.","5.0 out of 5 stars",7,62
"63","stopped working after a week","They were working pretty fine until one day it stopped working i cant turn it on, I cant reset it, it won’t charge . Idk what to do help!","2.0 out of 5 stars",7,63
"64","Can't connect","The product does not connect when using Facebook video calling. It is extremely frustrating.","2.0 out of 5 stars",7,64
"65","Honesty not that great","They feel really cheap and plastic, sound isn’t great it’s about the same as my £20 JVC headphones","2.0 out of 5 stars",7,65
"66","DIDN'T WORK PROPERLY","These looked very good o the website, but they are made in North Vietnam or somewhere, and are not usual Sony quality. No instructions included. The left speaker didn't work at all and the right speaker was barely audible, even on max volume. Returned for a refund.","1.0 out of 5 stars",7,66
"67","Present Fail :( . Defective Right headphone, trembling on 50-80% volume, very disappointed!!!","Defective Right headphone, trembling on 40-70% volume, very disappointed!!!I assume this is a factory fault, or either while shipped, the right ear headphone is making trembling distorted sounds, the left ear headphone works perfectly and sounds great for the price. But I did not buy the product just for the left ear, I wouldn't mind if I was deaf on the right ear...I was so happy to receive this product, as it was a present.","1.0 out of 5 stars",7,67
"68","On Ear Headphone Works Well For Casual Listening & Some Sport/Fitness Activities","Ordered the Sony WH-CH520 Wireless Bluetooth Headphones for my wife as a gift for Mothers Day as she is unable to wear earbuds due to her ear canal being so small. I looked around for a nice, branded budget pair and snapped these up when they became available. They were packaged in a typical brand retail format cardboard container with a loop on the top for hanging on a store rack, the outer sleeve comes off when the securing tab is unhooked, revealing a fairly plain but branded box within. Inside the box were the on-ear headphones (in white as selected) wrapped in a white cloth reminiscent of a thick tissue paper, a charging cable and user booklet – no additional packaging plastics which is to be commended. No case is provised with this model of headphone.The headphones are very lightweight though feel well built, the cups have good cushioning in the pads and in the headband and as such they are super comfortable to wear. The controls are all in the right cup only and consist of the on/off/Bluetooth pairing button and volume up/down buttons which also act as skip forward and backward, the cups are marked for L and R just above them on the headband.In terms of use and sound, these are on-ear as stated and as such do not present much in the way of noise isolation and can come loose with moderate/intense body/head movement from the wearer but that is common for the on-ear type of headphone. In use, battery life is long at 50 hours and they also have the ability to perform multi-pairing, which works well, as does the sony App which allows customisation of the sound EQ etc. Clamping force is OK, controls are pretty standard but function well, and as for the sound signature I’d say a tendency to a warm sound, with very good and accurate bass and mid-range though distortion is presented when volume is pushed higher, the treble is less well defined, soundstage is slightly below average. The microphone is pretty good actually with clear reproduction – though the background noise reproduction is average. I would say that their Bluetooth performance is very good at this price point, though they have no gaming support capability as there is no jack, the USB C port is for charging only. Overall then a mixed bag but they are perfect for the intended purpose and as such I’m giving them 4 out of 5 stars.","4.0 out of 5 stars",7,68
